label,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50
EMPTY,12.689664560492137,13.156647192618872,14.233091530610796,15.16384888244204,15.382382726929736,16.969024518952533,16.32017826381194,15.988434022978618,17.28056213900244,16.689597610306173,15.683458615306035,16.139478507313356,15.343491454667564,14.392256435741992,12.67849583988477,12.032680227193284,12.596988925798591,10.126613274802573,10.197469134032676,8.87437631328655,7.989994335419985,7.138536238319547,8.075145944513572,7.77546066041073,7.8438352658302515,6.77313349482716,7.26135164963034,8.58906893458637,10.324568448987598,9.609896134963464,11.09574729829493,11.449528898407632,12.274934918740003,12.341561924001867,14.659590189681133,15.404955218781655,16.05841303258538,17.48834266098062,17.175766504153923,16.92341736637578,17.79780990186359,16.891322098064933,15.59427194709483,16.056714429326238,14.454857324034323,14.43551740273763,12.984973637636871,12.553976273728084,11.11854919828994,10.282825399783944,9.304975153839518
EMPTY,12.713784724271289,13.26987395545862,14.331950495083497,15.282806899585314,15.869756395993344,16.784653837946962,16.77406860491373,17.298582997643127,17.562278232050677,17.09641797512886,16.18600057000765,15.678025139150527,15.188837394255708,14.95096868814989,13.08175038529012,12.560674965809284,11.612120804260153,10.55480780734806,9.952926661462197,8.72848327988908,8.657022116878299,6.647581322473382,6.952990133387387,7.106448519055375,8.264920570775953,6.351255821202027,8.26581396411799,7.817508440710609,9.373564204121305,9.31593101475283,11.004288868297008,11.484731077068528,12.9397334290938,13.016108306882511,13.428947248079304,15.531801198829523,15.152054401592792,16.679633352390315,17.155733411051397,16.7198701492816,16.765008000519952,16.39031858649044,15.39581925932,15.95284389411806,14.514532146920128,13.285019120584096,13.292881640525254,11.636297572943148,11.633108305002072,10.807534975232311,9.85502866001001
EMPTY,12.578079513746616,13.654178614765891,13.567887935350312,14.817981779364816,15.340729501267008,16.98804267940349,16.76366023460567,16.228244886472837,17.25889402563228,17.941816870724672,16.959669953399096,15.779413399732933,14.710486816806194,13.931498561452306,13.099375976673302,12.92686888974642,11.539749136977374,10.547763638604833,9.358696288435496,8.934383805601332,7.8971280287197585,8.158695561932936,7.372473489588683,6.477268548882832,6.519883894703715,7.653224069400144,7.4208018995049585,7.4835121435786816,8.814718461642604,10.507447168322622,10.024234030721164,11.9365829378402,12.445693453443186,13.83118828765532,14.47776714358684,15.517368323234548,15.43339929166186,16.189491233240943,15.972647693771636,17.050030684560987,16.312750202926395,16.931842038073032,16.153656760415696,15.709475679558452,15.503056365090853,14.36238550443048,13.360121996367194,12.808419142808232,11.132337138868827,10.259105203194316,8.62084728138565
EMPTY,12.06921900656502,13.237786947254506,13.370528173478462,14.766722986072612,14.7252245860126,17.048611206226077,17.319579717601354,16.379413645764686,17.846197248049307,16.59927651975002,16.829323972834402,14.98917233979778,14.943131170642234,14.313254666914958,13.904673232760572,12.547788003505314,12.07653785256944,9.588441219433424,9.667306605247674,9.082698905053178,7.6247804175195935,7.369398600640885,7.21835859342632,7.347160391504686,7.348527164231701,8.101476235565608,7.54836271045241,8.75017141009602,9.15810521296468,9.695064723327112,10.459114199319652,11.243937701678709,12.417187340531168,13.966964405318643,14.30843975721045,14.945137940493812,15.291943742760086,17.64576395559934,16.59271934884962,16.83463231198086,17.27925068495858,16.43715119627246,15.579229922639534,15.602577901034604,15.406020247530629,13.98886900982452,12.943760810936489,11.951473635523662,10.991855745659844,9.674128410396948,9.356944868157123
EMPTY,11.894216914973097,12.108216781144902,14.326214361238724,14.555119266627935,15.316429723077826,16.51664028798269,16.46234590952259,17.85407368328885,17.000563521018595,17.448218301908575,16.668981124097975,15.590657954234288,15.527326076863469,14.334300344444513,13.568900306061987,12.41499210431112,12.447791281627278,10.423971515509908,10.2834325410029,9.21725347535842,7.937178208414928,7.800881056069618,8.000756875444525,7.608280904890269,5.98637511516854,7.291555527634512,7.989979052665307,9.353528464851689,8.935858846672154,10.03095587380641,10.534848962284162,12.110809260920044,12.240776904346308,13.067128959370145,14.313743316016156,14.817993846714332,16.14516583213931,16.88188482693189,16.734272901295885,17.780083098965456,17.35783270883772,17.013394808209636,15.903388743123465,15.91509934027556,14.607577694062323,13.804633529202244,13.108484306147536,11.7856591396203,12.198063117860384,9.824863336572731,9.921164064909066
EMPTY,11.751323594841958,12.702120531664008,14.23501109005718,15.883304591738003,15.902154549453298,16.136873127351674,16.745891100970773,17.23029591189649,16.330994630427817,17.09839779136191,16.69680683280797,15.943889766726274,15.317782630607368,14.019658599633988,13.24118570532072,12.79529725237038,11.279957351103617,10.569634326011942,10.13189323442945,8.39925100309597,7.532199296495876,6.33794343924618,6.855777683930371,6.707232355792431,6.946099169011436,7.727338770133908,7.288838519000377,7.515968259960427,9.59527233324182,10.019816541753318,10.523781259270567,10.93032232090076,11.85259514472089,14.09374081070154,14.600260461778213,14.379518262765671,15.421055188089955,17.025124773864558,17.575431461849384,17.352060128705542,17.044779326866514,16.19975609002992,16.286483087442644,15.861214258953254,15.64104957071712,13.809592688712826,12.19334620078833,12.012604148296596,10.712005513693963,10.26141252178092,8.585208565222386
EMPTY,12.037003408284736,12.765328960850006,14.16939626427476,14.11824420836144,15.795826356682324,16.448113654437893,15.404225813941654,16.48483439670049,15.947056561880078,17.216167242694713,16.7688790757531,15.966105840789726,15.70988125321674,14.691489837946904,13.523994489207494,13.06685684200932,12.345912150378654,10.979580829685949,9.980124038186554,8.760026187724968,8.36730591577803,8.745096773261078,7.253731010054988,6.393480105460051,6.022571889007718,7.192960163682897,7.093964383199035,8.207051017268684,8.584254980799532,9.498363724570805,9.1910702991913,11.790794705545864,12.642558420678682,13.488145141048498,14.932212481013886,15.996813690312928,16.023658942389023,16.940125384885533,16.402225489047947,17.152294301421172,16.964611268858487,16.859654902526202,16.256535937793537,15.848172711620464,14.631429887599808,14.589084610667909,12.370379507567336,13.134855887216707,10.82632656158359,9.8873797018972,9.075778897601856
EMPTY,12.461465156904724,13.26564255797586,13.069539046693402,15.458261654689656,15.060433492856932,16.898692607174247,16.413815058886147,17.048342895366915,16.517915424075166,16.776634857597326,16.617182924616536,16.987048283868205,15.070052798801202,14.278770625221544,14.00802630621729,12.619106320159808,11.540836183342863,11.243177983835505,9.402249981240496,7.951752979450598,8.361769948532531,7.890567457773165,7.654173722076063,7.999144349799129,7.335555558117659,7.430899734201934,8.42060712425457,7.887393583092286,8.539586908725056,8.978118611389139,10.816906103014912,10.680981643974816,12.882006008401548,13.062026803641237,13.201617903040876,14.670044884351393,14.786360351472142,16.222014930652126,15.90080139765814,16.827868765324393,16.66140360287048,17.247300606226013,16.136576550891693,15.464464865566413,14.823664300704346,14.227945652891416,12.528170281252285,12.578964678912792,10.81233866567267,9.699003331796344,10.27920292006918
EMPTY,12.11667430384865,13.33530684422162,14.152806788614988,15.7957749581145,15.527439861910226,15.864296129743106,17.40837771901934,16.071497111292476,17.598941135998896,17.413110318743588,16.712265910709196,15.790550923762495,15.093075098390528,14.42980925493672,13.754054027482413,12.679574576124,11.928049683368206,10.581171221473635,9.084734018678898,8.822331235432424,8.661627722337446,7.991625911053271,8.024805836702843,6.724495582032394,6.605705139896044,7.381900491580546,7.607007834848344,7.956490460645267,9.506111763727214,9.201944357997217,10.576723187588998,12.45687780922916,12.300897033532754,13.796588705718706,14.260968776147363,15.19318357992195,15.729648372371704,16.367380259219303,17.35380888177577,17.269574491970708,16.834451225141827,16.240046348439115,16.729451161788212,15.982123256299294,15.12152368583145,14.83837822267014,12.789751086247216,12.4639672412369,10.44918958608521,10.328979110341058,8.448809156679172
EMPTY,12.14233819627949,13.015981674654434,13.140686981237945,14.852202104472536,14.972859327778217,16.450054888867516,16.15897229047058,17.200387325982305,17.035018331632827,16.178569431315715,16.642750587883764,16.749639904700512,15.55342165908698,15.076098709464432,13.930002538882688,11.918906624794902,11.888245546526004,10.013741051810234,10.573791108045942,8.619008684290755,7.952623556531703,8.800404760413237,6.666667559528348,6.999337593863944,7.062497931249364,7.4200031442709165,8.210422049072404,8.78424476881433,8.439084120113748,9.365402863409946,10.336232555389378,11.913146579832924,12.053697286782905,12.718631443527304,14.419083593260927,15.35090594871117,15.456542918175966,16.546215704458724,17.58302003967603,16.126172050098955,16.840510123725544,16.95807710930209,16.155625904393375,15.868641118635129,13.859187701786862,14.48847979749648,12.250524104958298,12.54697654620896,10.428577458111162,10.896690815157958,9.001062192207709
